Department,JobRole,Age,MonthlyIncome,JobSatisfaction,OverTime,WorkLifeBalance,risk_score,risk_level,Attrition
Research & Development,Healthcare Representative,36,10096,3,No,3,10,Low Risk,No
Research & Development,Manager,55,14756,3,Yes,3,20,Low Risk,No
Research & Development,Manufacturing Director,36,6499,2,No,3,40,Medium Risk,No
Research & Development,Research Scientist,45,9724,1,No,3,40,Medium Risk,No
Research & Development,Research Scientist,35,2194,1,No,2,70,High Risk,No
Research & Development,Research Scientist,36,3388,3,Yes,2,40,Medium Risk,Yes
Sales,Sales Executive,59,5473,3,No,2,35,Medium Risk,No
Research & Development,Research Scientist,29,2703,2,No,3,35,Medium Risk,No
Research & Development,Research Scientist,31,2501,2,No,3,35,Medium Risk,No
Research & Development,Research Scientist,32,6220,2,No,3,40,Medium Risk,No
Research & Development,Laboratory Technician,36,3038,4,No,3,15,Low Risk,No
Research & Development,Manufacturing Director,31,4424,4,No,3,0,Low Risk,No
Sales,Sales Executive,35,4312,1,No,3,25,Medium Risk,No
Research & Development,Research Director,45,13245,1,Yes,4,45,Medium Risk,No
Research & Development,Research Director,37,13664,3,No,4,15,Low Risk,No
Human Resources,Human Resources,46,5021,2,Yes,3,60,High Risk,No
Research & Development,Laboratory Technician,30,5126,4,Yes,2,40,Medium Risk,No
Research & Development,Research Scientist,35,2859,3,No,3,25,Medium Risk,No
Sales,Sales Executive,55,10239,4,No,3,15,Low Risk,No
Research & Development,Research Scientist,38,5329,4,Yes,3,35,Medium Risk,No
Research & Development,Manufacturing Director,34,4325,2,No,3,40,Medium Risk,No
Research & Development,Manufacturing Director,56,7260,4,No,2,20,Low Risk,No
Sales,Sales Representative,23,2322,1,No,3,35,Medium Risk,No
Research & Development,Laboratory Technician,51,2075,4,No,3,10,Low Risk,No
Research & Development,Healthcare Representative,30,4152,4,No,3,10,Low Risk,No
Sales,Sales Executive,46,9619,4,No,3,10,Low Risk,Yes
Research & Development,Healthcare Representative,40,13503,2,No,2,55,High Risk,No
Sales,Sales Executive,51,5441,4,Yes,1,40,Medium Risk,No
Sales,Sales Executive,30,5209,2,Yes,2,65,High Risk,No
Research & Development,Healthcare Representative,46,10673,1,Yes,2,75,High Risk,No
Sales,Sales Executive,32,5010,3,No,3,25,Medium Risk,No
Research & Development,Research Director,54,13549,3,No,1,35,Medium Risk,No
Sales,Sales Executive,24,4999,3,No,2,35,Medium Risk,No
Sales,Sales Executive,28,4221,3,No,4,15,Low Risk,No
Sales,Sales Executive,58,13872,3,No,2,20,Low Risk,No
Research & Development,Laboratory Technician,44,2042,2,No,4,50,High Risk,No
Human Resources,Human Resources,37,2073,1,Yes,3,55,High Risk,Yes
Research & Development,Research Scientist,32,2956,1,No,3,35,Medium Risk,No
Research & Development,Laboratory Technician,20,2926,4,Yes,3,30,Medium Risk,Yes
Research & Development,Research Scientist,34,4809,3,No,3,15,Low Risk,No
Research & Development,Healthcare Representative,37,5163,4,No,4,0,Low Risk,No
Human Resources,Manager,59,18844,4,No,3,0,Low Risk,No
Research & Development,Research Director,50,18172,2,Yes,2,80,High Risk,No
Sales,Sales Executive,25,5744,3,Yes,3,20,Low Risk,Yes
Research & Development,Research Scientist,25,2889,4,No,3,10,Low Risk,No
Research & Development,Laboratory Technician,22,2871,4,No,3,25,Medium Risk,No
Research & Development,Healthcare Representative,51,7484,1,No,2,70,High Risk,No
Research & Development,Laboratory Technician,34,6074,3,Yes,3,35,Medium Risk,Yes
Human Resources,Manager,54,17328,4,Yes,3,30,Medium Risk,No
Research & Development,Laboratory Technician,24,2774,3,No,3,25,Medium Risk,No
Research & Development,Research Scientist,34,4505,2,No,3,25,Medium Risk,No
Sales,Sales Executive,37,7428,4,No,3,0,Low Risk,No
Research & Development,Manager,34,11631,1,No,3,35,Medium Risk,No
Sales,Sales Executive,36,9738,4,No,3,15,Low Risk,No
Research & Development,Laboratory Technician,36,2835,4,No,3,25,Medium Risk,No
Sales,Manager,43,16959,4,Yes,4,30,Medium Risk,No
Research & Development,Research Scientist,30,2613,3,No,2,45,Medium Risk,No
Sales,Sales Executive,33,6146,2,No,4,25,Medium Risk,No
Research & Development,Research Scientist,56,4963,2,Yes,3,70,High Risk,Yes
Research & Development,Research Director,51,19537,3,No,3,25,Medium Risk,No
Sales,Sales Executive,31,6172,3,Yes,2,65,High Risk,Yes
Research & Development,Research Scientist,26,2368,2,No,2,65,High Risk,No
Research & Development,Healthcare Representative,58,10312,4,No,2,30,Medium Risk,Yes
Sales,Sales Representative,19,1675,3,Yes,2,50,High Risk,Yes
Research & Development,Laboratory Technician,22,2523,4,No,3,10,Low Risk,No
Research & Development,Manufacturing Director,49,6567,1,No,2,55,High Risk,No
Research & Development,Research Scientist,43,4739,3,No,3,15,Low Risk,No
Sales,Sales Executive,50,9208,4,No,3,0,Low Risk,No
Sales,Sales Executive,31,4559,3,Yes,3,35,Medium Risk,Yes
Sales,Sales Executive,41,8189,3,Yes,3,20,Low Risk,No
Human Resources,Human Resources,26,2942,3,No,3,20,Low Risk,No
Research & Development,Manufacturing Director,36,4941,2,No,3,40,Medium Risk,No
Research & Development,Manufacturing Director,51,10650,4,No,3,15,Low Risk,Yes
Sales,Sales Executive,39,5902,3,No,4,10,Low Risk,No
Sales,Sales Executive,25,8639,3,No,3,15,Low Risk,No
Human Resources,Human Resources,30,6347,4,Yes,1,50,High Risk,No
Research & Development,Laboratory Technician,32,4200,1,No,4,40,Medium Risk,Yes
Research & Development,Research Scientist,45,3452,4,No,2,20,Low Risk,No
Research & Development,Research Scientist,38,4317,3,Yes,3,20,Low Risk,No
Research & Development,Research Scientist,30,2632,3,No,2,45,Medium Risk,No
Sales,Sales Executive,32,4668,4,No,4,0,Low Risk,No
Research & Development,Research Scientist,30,3204,1,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,30,2720,4,No,3,25,Medium Risk,No
Research & Development,Manager,41,17181,1,No,2,55,High Risk,No
Research & Development,Laboratory Technician,41,2238,1,No,3,35,Medium Risk,No
Research & Development,Laboratory Technician,19,1483,2,No,3,50,High Risk,No
Research & Development,Research Scientist,40,5605,2,No,3,40,Medium Risk,No
Sales,Sales Executive,35,7295,2,No,3,25,Medium Risk,No
Sales,Sales Representative,53,2306,3,Yes,1,75,High Risk,No
Research & Development,Laboratory Technician,45,2348,2,No,1,70,High Risk,No
Sales,Sales Executive,32,8998,4,No,3,15,Low Risk,No
Research & Development,Manufacturing Director,29,4319,3,No,3,0,Low Risk,No
Research & Development,Manufacturing Director,51,6132,3,No,3,15,Low Risk,No
Research & Development,Research Scientist,58,3346,2,Yes,2,80,High Risk,No
Sales,Sales Executive,40,10855,4,No,2,20,Low Risk,No
Sales,Sales Representative,34,2231,3,No,3,10,Low Risk,No
Research & Development,Research Scientist,22,2323,4,No,3,10,Low Risk,No
Research & Development,Research Scientist,27,2024,2,No,1,55,High Risk,No
Research & Development,Research Scientist,28,2713,4,No,1,30,Medium Risk,No
Research & Development,Healthcare Representative,57,9439,4,Yes,1,40,Medium Risk,No
Research & Development,Research Scientist,27,2566,3,Yes,2,50,High Risk,No
Research & Development,Manager,50,19926,2,No,3,35,Medium Risk,No
Research & Development,Research Scientist,41,2451,3,No,3,25,Medium Risk,No
Sales,Sales Executive,30,9419,4,No,3,25,Medium Risk,No
Sales,Sales Executive,38,8686,4,No,4,15,Low Risk,No
Research & Development,Research Scientist,32,3038,3,No,3,0,Low Risk,No
Research & Development,Research Scientist,27,3058,2,Yes,2,65,High Risk,No
Sales,Sales Representative,19,2325,1,No,4,35,Medium Risk,Yes
Research & Development,Laboratory Technician,36,2088,2,No,2,65,High Risk,No
Research & Development,Laboratory Technician,30,3072,1,No,3,35,Medium Risk,No
Sales,Sales Executive,45,5006,1,Yes,4,45,Medium Risk,No
Research & Development,Research Scientist,56,4257,1,Yes,3,45,Medium Risk,No
Research & Development,Research Scientist,33,2500,4,No,4,10,Low Risk,No
Research & Development,Laboratory Technician,19,1102,4,No,2,45,Medium Risk,Yes
Sales,Sales Executive,46,10453,1,No,3,50,High Risk,No
Research & Development,Laboratory Technician,38,2288,4,No,3,10,Low Risk,No
Research & Development,Research Scientist,31,3929,4,Yes,3,20,Low Risk,No
Research & Development,Research Scientist,34,2311,2,No,3,35,Medium Risk,No
Sales,Sales Representative,41,3140,2,Yes,2,80,High Risk,Yes
Research & Development,Laboratory Technician,50,3690,3,No,2,20,Low Risk,No
Research & Development,Manufacturing Director,53,4450,1,No,3,25,Medium Risk,No
Research & Development,Research Scientist,33,2756,2,No,3,35,Medium Risk,No
Research & Development,Manager,40,19033,3,No,3,10,Low Risk,No
Research & Development,Research Director,55,18722,2,No,3,25,Medium Risk,No
Research & Development,Manufacturing Director,34,9547,3,No,2,20,Low Risk,No
Research & Development,Healthcare Representative,51,13734,2,No,3,25,Medium Risk,No
Research & Development,Manager,52,19999,3,No,3,10,Low Risk,No
Research & Development,Research Scientist,27,2279,2,No,2,55,High Risk,No
Research & Development,Manufacturing Director,35,5916,3,Yes,3,35,Medium Risk,Yes
Research & Development,Research Scientist,43,2089,4,No,4,10,Low Risk,No
Research & Development,Manager,45,16792,4,No,3,25,Medium Risk,No
Research & Development,Research Scientist,37,3564,1,Yes,2,80,High Risk,No
Research & Development,Laboratory Technician,35,4425,2,No,3,40,Medium Risk,No
Research & Development,Manufacturing Director,42,5265,3,No,3,0,Low Risk,No
Research & Development,Manufacturing Director,38,6553,3,No,3,0,Low Risk,No
Research & Development,Manufacturing Director,38,6261,4,No,1,20,Low Risk,No
Research & Development,Manufacturing Director,27,4298,1,No,3,25,Medium Risk,No
Research & Development,Manufacturing Director,49,6804,4,Yes,3,20,Low Risk,No
Research & Development,Research Scientist,34,3815,3,Yes,4,20,Low Risk,No
Research & Development,Laboratory Technician,40,2741,4,Yes,4,30,Medium Risk,No
Research & Development,Healthcare Representative,38,6673,1,Yes,3,60,High Risk,Yes
Sales,Sales Executive,29,7639,4,No,2,35,Medium Risk,Yes
Research & Development,Research Scientist,22,2328,2,Yes,2,75,High Risk,No
Research & Development,Laboratory Technician,36,2153,4,No,3,25,Medium Risk,No
Research & Development,Healthcare Representative,40,4876,4,No,1,20,Low Risk,No
Research & Development,Healthcare Representative,46,9396,1,No,3,25,Medium Risk,No
Sales,Sales Executive,32,10400,4,No,2,30,Medium Risk,Yes
Research & Development,Manufacturing Director,30,8474,3,No,3,10,Low Risk,No
Sales,Sales Executive,27,9981,3,No,3,0,Low Risk,No
Research & Development,Research Director,51,12490,2,No,1,70,High Risk,No
Research & Development,Research Scientist,30,2657,1,Yes,3,55,High Risk,Yes
Sales,Manager,41,13591,4,Yes,3,20,Low Risk,No
Sales,Sales Executive,30,6696,1,No,2,45,Medium Risk,Yes
Research & Development,Research Scientist,29,2058,3,No,2,30,Medium Risk,Yes
Sales,Sales Executive,45,8865,4,No,3,10,Low Risk,No
Sales,Sales Executive,54,5940,1,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,36,5914,2,No,4,25,Medium Risk,No
Research & Development,Research Scientist,33,2622,2,No,3,35,Medium Risk,No
Research & Development,Research Director,37,12185,4,Yes,3,35,Medium Risk,No
Sales,Sales Executive,38,10609,3,No,2,45,Medium Risk,No
Research & Development,Manufacturing Director,31,4345,3,No,3,0,Low Risk,No
Research & Development,Research Scientist,59,2177,4,No,3,10,Low Risk,No
Sales,Sales Representative,37,2793,4,No,3,35,Medium Risk,No
Sales,Sales Executive,29,7918,4,No,3,25,Medium Risk,No
Sales,Sales Executive,35,8789,3,No,4,0,Low Risk,No
Research & Development,Research Scientist,29,2389,4,Yes,2,50,High Risk,Yes
Research & Development,Laboratory Technician,52,3212,4,No,2,20,Low Risk,No
Research & Development,Manager,42,19232,4,No,3,10,Low Risk,No
Human Resources,Human Resources,59,2267,3,No,2,45,Medium Risk,No
Sales,Manager,50,19517,4,No,2,20,Low Risk,No
Research & Development,Laboratory Technician,33,2436,4,Yes,1,50,High Risk,Yes
Sales,Manager,43,16064,4,Yes,3,20,Low Risk,No
Research & Development,Laboratory Technician,33,2707,1,No,4,50,High Risk,Yes
Sales,Manager,52,19068,3,Yes,4,45,Medium Risk,No
Sales,Sales Representative,32,3931,2,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,32,3730,3,Yes,1,40,Medium Risk,Yes
Research & Development,Laboratory Technician,39,2232,3,No,3,10,Low Risk,No
Sales,Sales Executive,32,4465,4,No,3,0,Low Risk,No
Research & Development,Research Scientist,41,3072,1,No,2,45,Medium Risk,No
Research & Development,Research Scientist,40,3319,4,No,3,25,Medium Risk,No
Research & Development,Manager,45,19202,4,No,3,0,Low Risk,No
Research & Development,Research Director,31,13675,3,No,3,15,Low Risk,No
Research & Development,Research Scientist,33,2911,4,No,2,30,Medium Risk,No
Research & Development,Manufacturing Director,34,5957,1,No,3,35,Medium Risk,No
Research & Development,Research Scientist,37,3920,1,No,2,45,Medium Risk,No
Research & Development,Manufacturing Director,45,6434,3,No,3,15,Low Risk,No
Research & Development,Manufacturing Director,37,10048,3,No,3,15,Low Risk,Yes
Research & Development,Healthcare Representative,39,10938,3,No,3,10,Low Risk,No
Research & Development,Research Scientist,29,2340,4,No,3,10,Low Risk,No
Research & Development,Research Scientist,42,6545,1,Yes,3,45,Medium Risk,No
Sales,Sales Executive,29,6931,4,No,3,0,Low Risk,No
Research & Development,Manufacturing Director,25,4898,3,No,3,15,Low Risk,No
Research & Development,Laboratory Technician,42,2593,1,Yes,3,65,High Risk,No
Research & Development,Research Director,40,19436,3,No,3,15,Low Risk,No
Research & Development,Research Scientist,51,2723,4,No,2,30,Medium Risk,No
Research & Development,Laboratory Technician,31,3479,2,No,4,25,Medium Risk,Yes
Research & Development,Laboratory Technician,32,2794,2,No,1,70,High Risk,No
Sales,Sales Executive,38,5249,4,No,3,10,Low Risk,No
Research & Development,Laboratory Technician,32,2176,1,No,3,35,Medium Risk,No
Sales,Manager,46,16872,2,Yes,2,75,High Risk,No
Research & Development,Laboratory Technician,28,3485,3,No,1,35,Medium Risk,Yes
Sales,Sales Executive,29,6644,2,No,3,40,Medium Risk,No
Research & Development,Healthcare Representative,31,5582,4,No,3,25,Medium Risk,No
Research & Development,Healthcare Representative,25,4000,1,No,3,40,Medium Risk,No
Research & Development,Healthcare Representative,45,13496,4,Yes,3,30,Medium Risk,No
Research & Development,Laboratory Technician,36,3210,4,No,3,10,Low Risk,No
Research & Development,Manager,55,19045,1,Yes,3,55,High Risk,No
Research & Development,Manager,47,11849,2,Yes,2,90,High Risk,Yes
Research & Development,Research Scientist,28,2070,4,No,2,30,Medium Risk,No
Sales,Sales Executive,37,6502,4,No,4,0,Low Risk,No
Research & Development,Research Scientist,21,3230,3,No,4,0,Low Risk,No
Research & Development,Research Director,37,13603,4,Yes,3,35,Medium Risk,No
Research & Development,Manager,35,11996,2,No,2,70,High Risk,No
Sales,Sales Executive,38,5605,1,Yes,3,70,High Risk,No
Research & Development,Manufacturing Director,26,6397,2,No,1,45,Medium Risk,No
Research & Development,Research Director,50,19144,2,No,2,60,High Risk,No
Research & Development,Research Director,53,17584,3,Yes,2,40,Medium Risk,No
Sales,Sales Executive,42,4907,3,No,3,25,Medium Risk,No
Sales,Sales Executive,29,4554,4,No,2,35,Medium Risk,No
Research & Development,Laboratory Technician,55,5415,4,Yes,3,35,Medium Risk,No
Research & Development,Healthcare Representative,26,4741,1,Yes,3,60,High Risk,No
Research & Development,Research Scientist,37,2115,4,No,3,20,Low Risk,No
Research & Development,Laboratory Technician,44,3161,3,Yes,1,40,Medium Risk,Yes
Research & Development,Healthcare Representative,38,5745,4,No,3,0,Low Risk,No
Research & Development,Laboratory Technician,26,2373,2,Yes,3,70,High Risk,Yes
Research & Development,Research Scientist,28,3310,4,No,3,0,Low Risk,No
Research & Development,Research Director,49,18665,1,Yes,3,45,Medium Risk,No
Research & Development,Research Scientist,36,4485,2,No,3,35,Medium Risk,No
Sales,Sales Representative,31,2789,2,No,2,55,High Risk,No
Sales,Sales Executive,26,5828,4,Yes,3,30,Medium Risk,Yes
Research & Development,Research Scientist,37,2326,4,Yes,2,65,High Risk,No
Sales,Sales Executive,42,13525,2,No,4,35,Medium Risk,No
Research & Development,Laboratory Technician,18,1420,3,No,3,10,Low Risk,Yes
Sales,Sales Executive,35,8020,2,No,2,55,High Risk,No
Research & Development,Laboratory Technician,36,3688,4,No,3,0,Low Risk,No
Research & Development,Manufacturing Director,51,5482,2,No,3,25,Medium Risk,No
Sales,Manager,41,16015,2,No,3,25,Medium Risk,No
Sales,Sales Representative,18,1200,3,No,3,10,Low Risk,No
Research & Development,Healthcare Representative,28,5661,1,No,3,40,Medium Risk,No
Sales,Sales Executive,31,6929,4,No,2,45,Medium Risk,No
Research & Development,Healthcare Representative,39,9613,4,No,2,20,Low Risk,No
Research & Development,Laboratory Technician,36,5674,2,No,3,40,Medium Risk,No
Sales,Sales Executive,32,5484,3,No,2,30,Medium Risk,No
Research & Development,Research Director,38,12061,2,No,3,40,Medium Risk,No
Research & Development,Healthcare Representative,58,5660,3,Yes,3,20,Low Risk,No
Research & Development,Research Scientist,31,4821,4,Yes,3,20,Low Risk,No
Human Resources,Human Resources,31,6410,1,No,3,40,Medium Risk,No
Research & Development,Laboratory Technician,45,5210,1,No,3,50,High Risk,No
Research & Development,Research Scientist,31,2695,4,Yes,1,50,High Risk,No
Research & Development,Manager,33,11878,2,No,3,35,Medium Risk,No
Research & Development,Manager,39,17068,1,Yes,3,55,High Risk,No
Research & Development,Laboratory Technician,43,2455,4,No,3,10,Low Risk,No
Research & Development,Healthcare Representative,49,13964,3,Yes,3,20,Low Risk,No
Research & Development,Research Scientist,52,4941,2,No,2,55,High Risk,Yes
Research & Development,Research Scientist,27,2478,2,Yes,2,75,High Risk,No
Sales,Sales Executive,32,5228,2,Yes,3,55,High Risk,No
Sales,Sales Executive,27,4478,3,Yes,3,20,Low Risk,No
Sales,Sales Executive,31,7547,4,No,3,0,Low Risk,No
Research & Development,Research Scientist,32,5055,4,No,2,35,Medium Risk,No
Research & Development,Research Scientist,28,3464,4,Yes,2,55,High Risk,Yes
Research & Development,Research Scientist,30,5775,4,No,3,0,Low Risk,No
Research & Development,Manufacturing Director,31,8943,3,No,3,10,Low Risk,No
Research & Development,Manager,39,19272,4,No,3,10,Low Risk,No
Sales,Sales Executive,39,5238,3,Yes,2,40,Medium Risk,Yes
Sales,Sales Executive,33,4682,4,No,2,35,Medium Risk,No
Research & Development,Research Director,47,18300,3,No,3,0,Low Risk,No
Research & Development,Laboratory Technician,43,5257,3,No,4,0,Low Risk,No
Sales,Sales Executive,27,6349,2,Yes,3,45,Medium Risk,No
Research & Development,Research Scientist,54,4869,3,No,2,20,Low Risk,No
Research & Development,Healthcare Representative,43,9985,1,No,2,45,Medium Risk,No
Research & Development,Research Scientist,45,3697,4,No,3,10,Low Risk,No
Sales,Sales Executive,40,7457,4,Yes,2,55,High Risk,No
Research & Development,Laboratory Technician,29,2119,1,Yes,2,90,High Risk,Yes
Research & Development,Laboratory Technician,29,3983,4,No,3,15,Low Risk,No
Sales,Sales Executive,30,6118,3,No,3,0,Low Risk,No
Sales,Sales Executive,27,6214,2,No,3,40,Medium Risk,No
Research & Development,Manufacturing Director,37,6347,4,No,2,20,Low Risk,No
Research & Development,Research Director,38,11510,4,Yes,3,20,Low Risk,No
Research & Development,Manufacturing Director,31,7143,4,Yes,2,50,High Risk,No
Sales,Sales Executive,29,8268,2,Yes,3,45,Medium Risk,No
Research & Development,Manufacturing Director,35,8095,2,No,3,25,Medium Risk,No
Research & Development,Research Scientist,23,2904,4,No,2,30,Medium Risk,No
Research & Development,Manufacturing Director,41,6032,2,Yes,3,45,Medium Risk,No
Sales,Sales Representative,47,2976,3,No,3,25,Medium Risk,No
Research & Development,Research Director,42,15992,4,No,3,15,Low Risk,No
Sales,Sales Executive,29,4649,3,No,2,20,Low Risk,No
Human Resources,Human Resources,42,2696,3,Yes,3,30,Medium Risk,No
Research & Development,Laboratory Technician,32,2370,2,No,3,35,Medium Risk,No
Sales,Manager,48,12504,3,No,1,35,Medium Risk,No
Research & Development,Research Scientist,37,5974,1,Yes,3,55,High Risk,No
Sales,Sales Executive,30,4736,3,Yes,4,20,Low Risk,No
Sales,Sales Executive,26,5296,3,No,3,10,Low Risk,No
Research & Development,Healthcare Representative,42,6781,4,No,3,15,Low Risk,No
Sales,Sales Representative,21,2174,2,Yes,3,70,High Risk,Yes
Sales,Sales Executive,36,6653,4,No,3,0,Low Risk,No
Sales,Sales Executive,36,9699,4,No,3,15,Low Risk,No
Research & Development,Healthcare Representative,57,6755,3,No,3,0,Low Risk,No
Research & Development,Laboratory Technician,40,2213,3,Yes,3,30,Medium Risk,No
Sales,Sales Representative,21,2610,4,No,2,45,Medium Risk,No
Sales,Sales Representative,33,2851,3,Yes,3,30,Medium Risk,Yes
Research & Development,Laboratory Technician,37,3452,1,No,3,25,Medium Risk,No
Research & Development,Manufacturing Director,46,5258,3,No,4,0,Low Risk,No
Sales,Sales Executive,41,9355,2,No,3,50,High Risk,Yes
Research & Development,Healthcare Representative,50,10496,4,No,3,0,Low Risk,No
Sales,Sales Executive,40,6380,3,Yes,3,20,Low Risk,Yes
Research & Development,Research Scientist,31,2657,2,Yes,3,55,High Risk,No
Sales,Sales Representative,21,2716,2,No,3,35,Medium Risk,Yes
Research & Development,Research Scientist,29,2201,4,No,3,10,Low Risk,No
Research & Development,Healthcare Representative,35,6540,2,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,27,3816,2,No,3,25,Medium Risk,No
Sales,Sales Executive,28,5253,4,No,3,15,Low Risk,No
Research & Development,Healthcare Representative,49,10965,3,No,3,15,Low Risk,No
Sales,Sales Executive,51,4936,4,No,2,20,Low Risk,No
Research & Development,Research Scientist,36,2543,3,No,3,10,Low Risk,No
Sales,Sales Executive,34,5304,4,Yes,2,55,High Risk,Yes
Research & Development,Manager,55,16659,4,Yes,3,20,Low Risk,No
Sales,Sales Executive,24,4260,3,Yes,4,20,Low Risk,No
Sales,Sales Representative,30,2476,2,No,3,35,Medium Risk,No
Research & Development,Research Scientist,26,3102,1,No,3,25,Medium Risk,Yes
Research & Development,Research Scientist,22,2244,2,No,3,50,High Risk,No
Sales,Sales Executive,36,7596,3,No,3,25,Medium Risk,No
Research & Development,Research Scientist,30,2285,4,Yes,3,30,Medium Risk,Yes
Research & Development,Laboratory Technician,37,3034,1,No,2,55,High Risk,No
Sales,Sales Executive,40,5715,2,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,42,2576,1,No,3,50,High Risk,No
Research & Development,Manufacturing Director,37,4197,2,Yes,2,65,High Risk,No
Research & Development,Research Director,43,14336,2,No,3,40,Medium Risk,No
Research & Development,Laboratory Technician,40,3448,3,No,3,15,Low Risk,No
Research & Development,Research Director,54,19406,1,No,2,60,High Risk,No
Sales,Sales Executive,34,6538,3,No,3,0,Low Risk,No
Research & Development,Manufacturing Director,31,4306,1,No,1,60,High Risk,No
Research & Development,Laboratory Technician,43,2258,4,No,3,10,Low Risk,No
Research & Development,Healthcare Representative,43,4522,3,Yes,3,20,Low Risk,No
